AutoCtr,Order,OtherOrders,CommonAncestor
1321,Orectolobiformes,Percopsiformes,457
1322,Orectolobiformes,Zeiformes,457
1323,Orectolobiformes,Stylephoriformes,457
1324,Orectolobiformes,Gadiformes,457
1325,Orectolobiformes,Lampriformes,457
1326,Orectolobiformes,Trachichthyiformes,457
1327,Orectolobiformes,Beryciformes,457
1328,Orectolobiformes,Holocentriformes,457
1329,Orectolobiformes,Ophidiiformes,457
1330,Orectolobiformes,Batrachoidiformes,457
1331,Orectolobiformes,Kurtiformes,457
1332,Orectolobiformes,Gobiiformes,457
1333,Orectolobiformes,Scombriformes,457
1334,Orectolobiformes,Syngnathiformes,457
1335,Orectolobiformes,Dactylopteriformes,457
1336,Orectolobiformes,Callionymiformes,457
1337,Orectolobiformes,Mulliformes,457
1338,Orectolobiformes,Synbranchiformes,457
1339,Orectolobiformes,Anabantiformes,457
1340,Orectolobiformes,Carangaria/misc,457
1341,Orectolobiformes,Carangiformes,457
1342,Orectolobiformes,Pleuronectiformes,457
1343,Orectolobiformes,Mugiliformes,457
1344,Orectolobiformes,Ovalentaria/misc,457
1345,Orectolobiformes,Gobiesociformes,457
1346,Orectolobiformes,Blenniiformes,457
1347,Orectolobiformes,Cichliformes,457
1348,Orectolobiformes,Beloniformes,457
1349,Orectolobiformes,Atheriniformes,457
1350,Orectolobiformes,Cyprinodontiformes,457
1351,Orectolobiformes,Perciformes/Percoidei,457
1352,Orectolobiformes,Perciformes/Zoarcoidei,457
1353,Orectolobiformes,Perciformes/Bembropoidei,457
1354,Orectolobiformes,Perciformes/Percophoidei,457
1355,Orectolobiformes,Perciformes/Notothenioidei,457
1356,Orectolobiformes,Perciformes/Uranoscopoidei,457
1357,Orectolobiformes,Perciformes/Serranoidei,457
1358,Orectolobiformes,Perciformes/Scorpaenoidei,457
1359,Orectolobiformes,Perciformes/Gasterosteoidei,457
1360,Orectolobiformes,Perciformes/Cottoidei,457
1361,Orectolobiformes,Acropomatiformes,457
1362,Orectolobiformes,Centrarchiformes,457
1363,Orectolobiformes,Eupercaria/misc,457
1364,Orectolobiformes,Acanthuriformes,457
1365,Orectolobiformes,Lophiiformes,457
1366,Orectolobiformes,Tetraodontiformes,457
1367,Orectolobiformes,Coelacanthiformes,457
1368,Orectolobiformes,Ceratodontiformes,457
1369,Lamniformes,Myxiniformes,500
1370,Lamniformes,Petromyzontiformes,500
1371,Lamniformes,Heterodontiformes,155
1372,Lamniformes,Orectolobiformes,170
1373,Lamniformes,Carcharhiniformes,135
1374,Lamniformes,Hexanchiformes,196
1375,Lamniformes,Squaliformes,196
1376,Lamniformes,Echinorhiniformes,196
1377,Lamniformes,Pristiophoriformes,196
1378,Lamniformes,Squatiniformes,196
